Date,Time,Relative_time,Temperature,Frequency_0,Dissipation_0,Frequency_1,Dissipation_1,Frequency_2,Dissipation_2,Frequency_3,Dissipation_3,Frequency_4,Dissipation_4
2026-09-11,12:15:27,11.699,24.93,5004629.0,6.958430523984134e-05,14988867.0,7.140858754888177e-05,24973894.0,8.772043727710844e-05,34957849.0,9.537709075212479e-05,44943456.0,0.00011958514349162578
2026-09-11,12:15:37,21.398,24.95,5004629.0,6.985116598755121e-05,14988863.0,7.194969588518143e-05,24973888.0,8.853155664727092e-05,34957834.0,9.569596902281046e-05,44943438.0,0.0001232187109440565
2026-09-11,12:15:47,31.049,24.96,5004629.0,6.994552735146135e-05,14988858.0,7.194969588518143e-05,24973879.0,8.841952681541443e-05,34957821.0,9.537709075212479e-05,44943422.0,0.0001232187109440565
2026-09-11,12:16:43,87.343,25.0,5004623.0,7.127338859252631e-05,14988831.0,7.367908156104386e-05,24973832.0,8.924866959825158e-05,34957756.0,9.504026517271996e-05,44943338.0,0.00012269042272865772
2026-09-11,12:16:43,87.344,25.0,5004623.0,7.127338859252631e-05,14988831.0,7.367908156104386e-05,24973832.0,8.924866959825158e-05,34957756.0,9.504026517271996e-05,44943338.0,0.00012269042272865772
2026-09-11,12:16:43,87.344,25.0,5004623.0,7.127338859252631e-05,14988831.0,7.367908156104386e-05,24973832.0,8.924866959825158e-05,34957756.0,9.504026517271996e-05,44943338.0,0.00012269042272865772
2026-09-11,12:16:43,87.344,25.0,5004623.0,7.127338859252631e-05,14988831.0,7.367908156104386e-05,24973832.0,8.924866959825158e-05,34957756.0,9.504026517271996e-05,44943338.0,0.00012269042272865772
2026-09-11,12:16:43,87.345,24.99,5004623.0,7.127338859252631e-05,14988831.0,7.367908156104386e-05,24973832.0,8.924866959825158e-05,34957756.0,9.504026517271996e-05,44943338.0,0.00012269042272865772
2026-09-11,12:16:53,97.497,24.99,5004623.0,7.135708283260464e-05,14988826.0,7.344865376874805e-05,24973825.0,8.923767652362586e-05,34957745.0,9.564928952604533e-05,44943326.0,0.00012397636444121598
2026-09-11,12:16:53,97.498,24.99,5004623.0,7.135708283260464e-05,14988826.0,7.344865376874805e-05,24973825.0,8.923767652362586e-05,34957745.0,9.564928952604533e-05,44943326.0,0.00012397636444121598
